Date,US3M,US10Y,DXY,DYHP,DYLP,N225_High,N225_Low,N225_Close
2026-06-01,3.5900001525878906,4.470999717712402,99.23300170898438,159.73399353027344,159.2429962158203,67231.28125,66244.84375,66934.328125
2026-05-29,3.5880000591278076,4.453000068664551,98.91000366210938,159.37600708007812,159.0989990234375,66505.0234375,65133.96875,66329.5
2026-05-28,3.5899999141693115,4.454999923706055,99.0199966430664,159.64300537109375,159.16600036621094,65165.75,63875.0390625,64693.12109375
2026-05-27,3.5850000381469727,4.480999946594238,99.20999908447266,159.51800537109375,159.1739959716797,66428.8125,64999.41015625,64999.41015625
2026-05-26,3.5820000171661377,4.493000030517578,99.16999816894531,159.3719940185547,158.90699768066406,65317.69140625,64605.69140625,64996.08984375
2026-05-22,3.5850000381469727,4.558000087738037,99.31999969482422,159.22500610351562,159.0,63432.41015625,61842.55859375,63339.0703125
2026-05-21,3.5820000171661377,4.585999965667725,99.19000244140625,159.3179931640625,158.8179931640625,62043.53125,60282.3515625,61684.140625
2026-05-20,3.556999921798706,4.572000026702881,99.11000061035156,159.16600036621094,158.593994140625,60567.26953125,59292.25,59804.41015625
2026-05-19,3.575000047683716,4.666999816894531,99.30000305175781,159.24200439453125,158.7779998779297,61456.30859375,60256.328125,60550.58984375
2026-05-18,3.568000078201294,4.623000144958496,98.97000122070312,159.0590057373047,158.63999938964844,61478.55078125,60376.98046875,60815.94921875
2026-05-15,3.5880000591278076,4.59499979019165,99.2699966430664,158.73800659179688,158.30499267578125,63235.76953125,60937.30078125,61409.2890625
2026-05-14,3.5880000591278076,4.460999965667725,98.87999725341797,158.18299865722656,157.60899353027344,63799.3203125,62654.05078125,62654.05078125
2026-05-13,3.5999999046325684,4.480999946594238,98.4800033569336,157.89100646972656,157.57899475097656,63347.91015625,62318.87109375,63272.109375
2026-05-12,3.6029999256134033,4.4629998207092285,98.29000091552734,157.74600219726562,156.8090057373047,63218.51171875,62158.4296875,62742.5703125
2026-05-11,3.5999999046325684,4.409999847412109,97.94000244140625,157.16900634765625,156.85499572753906,63385.0390625,62380.62109375,62417.87890625
2026-05-08,3.5950000286102295,4.363999843597412,97.83999633789062,156.97300720214844,156.4459991455078,62724.359375,62137.94921875,62713.6484375
2026-05-07,3.5980000495910645,4.392000198364258,98.25,156.51100158691406,156.03599548339844,63091.140625,60213.01953125,62833.83984375
2026-05-01,3.575000047683716,4.377999782562256,98.20999908447266,157.3090057373047,155.51600646972656,59706.69921875,59263.5,59513.12109375
2026-04-30,3.5850000381469727,4.389999866485596,98.08000183105469,160.70199584960938,155.55099487304688,59560.5703125,58928.19921875,59284.921875
2026-04-28,3.5899999141693115,4.354000091552734,98.62000274658203,159.78399658203125,158.97000122070312,60634.66015625,59701.83984375,59917.4609375
2026-04-27,3.5899999141693115,4.335999965667725,98.4800033569336,159.5749969482422,159.08999633789062,60903.94921875,59608.62890625,60537.359375
2026-04-24,3.5929999351501465,4.309999942779541,98.51000213623047,159.83700561523438,159.33599853515625,59763.6796875,59225.37109375,59716.1796875
2026-04-23,3.5950000286102295,4.322999954223633,98.80000305175781,159.7760009765625,159.29800415039062,60013.98046875,58621.48046875,59140.23046875
2026-04-22,3.5950000286102295,4.294000148773193,98.58999633789062,159.50399780273438,159.10400390625,59708.2109375,59005.48046875,59585.859375
2026-04-21,3.5980000495910645,4.291999816894531,98.41000366210938,159.43099975585938,158.80299377441406,59611.91015625,59004.76171875,59349.171875
2026-04-20,3.5980000495910645,4.25,98.05000305175781,159.177001953125,158.55099487304688,59169.12890625,58687.9609375,58824.890625
2026-04-17,3.5999999046325684,4.245999813079834,98.0999984741211,159.51499938964844,157.61199951171875,59381.25,58475.8984375,58475.8984375
2026-04-16,3.609999895095825,4.309000015258789,98.22000122070312,159.28700256347656,158.2779998779297,59688.1015625,58428.19140625,59518.33984375
2026-04-15,3.611999988555908,4.2820000648498535,98.05999755859375,159.1529998779297,158.65199279785156,58585.94921875,58028.75,58134.23828125
2026-04-14,3.611999988555908,4.25600004196167,98.12000274658203,159.32400512695312,158.60299682617188,57979.8203125,57010.1796875,57877.390625
